Language,Countries,Particularities,Greeting
Arabic,Egypt,Answer,SabaaH el nuur
Atayal,Taiwan,Answer,Zibok su' uzi
Bakitara,Central Africa,Answer,Ndabanta
Dagaare,"Ghana, Burkina Faso",Answer,"Oo, o be song"
Eton,Cameroon,Answer,Kiri mbang
Guarani,Paraguay,Answer,"Cheko'ê porâ, ha nde"
Kekchi,Guatemala,Answer,"Sa, bantiox"
Kinyarwanda,Rwanda,Answer,Waaramutse
Kiswahili,Southeast Africa,Answer,Nzuri
Koromfe,Burkina Faso,Answer,A  baani
Luganda,Uganda,Answer,"Bulungi, wasuze otya nno?"
Luganda,Uganda,Answer,Abuto maber
Luganda,Uganda,Answer,Abuto
Lunyankole,Mbarara South Uganda,Answer,Ndaire kurungi
Lunyoro,West Uganda,Answer,Kurungi
Mixtec,Santa Catarina Estetla Mexico,Answer,Kobadiátu
Mòoré,Burkina Faso,Answer,Laafibeme
Mòoré,Burkina Faso,Answer,Laafibala
Mòoré,Burkina Faso,Answer,Laafi
Pijin,Solomon Islands,Answer,Mone mone mone
Ingush,Russia,Answer elder to a mid-age,Maarsha-ca vaaxalva hwo
Ingush,Russia,Answer elder to several mid-age,Maarsha-ca daaxalda sho
Ingush,Russia,Answer elder to a young man,Duqa vaaxalva hwo
Ingush,Russia,Answer elder to young men,Duqa daaxalda sho
Ingush,Russia,Answer elder to young woman,Duqa jaaxiila hwo
Ekegusii,Kenya,Answer: fine,Buya
Bambara,Mali,Answer: peace only,Here dogon
Tagalog,Philippines,At noon,Magandang tanghali po
Tagalog,Philippiens,At noon,Magandang tanghali
Danish,"Denmark, Greenland",Before noon,God formiddag
Norwegian,Norway,Bokmaal,God morgen
Chishona,Southern Africa,By men,Mangwánaní chirombówe
Koromfe,Burkina Faso,By older people,N jengst baani
Chishona,Southern Africa,By women,Mangwánaní shéwe
Náhuatl,Aztec Empire,Classical,Ma cualli tlanextli
Náhuatl,Aztec Empire,Classical,Ma cualli tlaneci
Saami,Scandinavia,Davvi,Buorre iðit
Saami,Scandinavia,Davvi,Buorre idit
Tongan,"Tonga, Pacific Islands",Daylight,Malo e tau ma'u 'a e 'aho' ni
Mam,Guatemala,Did you get up?,Mápa jáwe?
Bambara,Mali,Did you sleep in peace?,Here sira wa?
Dyula,West Africa,Did you sleep in peace?,Hèrè sirawa?
Lingala,Congo,Did you sleep well?,Uazekele?
Ilokano,Philippines,Formal,Naimbag a bigatyo
Kapampangan,Philippines,Formal,Mayap ayabak pu
Swedish,"Sweden, Finland",Formal,God morgon
Korean,Korea,Formal: did you sleep well?,Annyong-hi jumushyossumnikka
Pijin,Solomon Islands,Good morning to you,Gudfala mone go long iu
Kasigau,Kenya,Have you woken up well?,Wawuka?
Mari,Russia,Hill Mari,Pury irok
Min Nam,Taiwan,Hokkien,Gau za
Min Nam,Taiwan,Hokkien,Gâo-chá
Yoruba,West Africa,Honorific,E káàrò
Lingala,Congo,How did you sleep?,Olalaki malamu?
Ekegusii,Kenya,How was the night?,Kwabokire?
Kangbe,West Africa,How was your night?,Tanna mahssee
Luganda,Uganda,How was your night?,Wasuze otya nno?
Kasigau,Kenya,I have woken up well,Nawuka
Aragonese,Aragon Spain,In spoken language,Güen diya
Dutch,Netherlands,In spoken language,Goeiemorgen
German,Vienna Austria,In spoken language,Gun moang
German,Switzerland,In spoken language,Guetä Morgä
German,Bavarian Alps,In spoken language,Guatn Moagn
Norwegian,Norway,In spoken language,Godmorn
Korean,Korea,Informal: did you sleep well?,Annyong-hi jumushyossoyo
Azerbaijani,Azerbaijan,Informal,Sabahiz xeyir
Finnish,Finland,Informal,Huomenta
Ilokano,Philippines,Informal,Naimbag a bigatmo
Klallam,Washington USA,It is a good day,?Éy' skwáchi ?áynekw
Klallam,Washington USA,It is a good day,?Éy' skwáchi
Apache,Arizona USA,Jicarilla,Daanzhonl da
Kichaga,Tanzania,Kibosho,Shimboni
Kichaga,Tanzania,Kimashami,Nesindisa
Milanese,Milan Italy,Lombard,Reverissi
Sorbian,Eastern Germany,Lower Sorbian,Dobre zajts'o
Yacouba,"Côte d'Ivoire, Liberia",Man,Unzhu babo
Cheke Holo,Solomon Islands,Maringe,Keli fara
Cheke Holo,Solomon Islands,Maringe,Hameron keli
Mari,Russia,Meadow Mari,Poro er
Hausa,West Africa,Midday,Barkà dà rana
Maori,Cook Islands,Midday,Kia orana 'i teia ra
Hawaiian,Hawaii,Midday - rarely used,Aloha awakea
Bambara,Mali,"Midday, to one person",I ni tilenna
Bambara,Mali,"Midday, to one person",I ni tile
Bambara,Mali,"Midday, to one person",I ni t'le
Bambara,Mali,"Midday, to several people",Aw ni tilenna
Bambara,Mali,"Midday, to several people",Aw ni tile
Bambara,Mali,"Midday, to several people",Aw ni t'le
English ,Great Britain,Middle English,Gode morweninge
Livonian,Latvia,Modern,Jõva uomõg
Chichewa,Malawi,,Mwadzuka bwanji
Tongan,"Tonga, Pacific Islands",,Malo tau ma'u e pongipongi ni
Tongan,"Tonga, Pacific Islands",,Malo e tau lava ki he pongipongi' ni
Unagan,"Alaska, Russia",,Qilachxizax
Yoruba,West Africa,Non-honorific,O káàrò
Cebuano,Philippines,Noon,Maayong udto
Danish,"Denmark, Greenland",Noon,God middag
Ilokano,Philippines,Noon,Naimbag nga aldaw
Mixtec,Chalcatongo Oaxaca Mexico,Noon,Táúshiù
Mixtec,Chalcatongo Oaxaca Mexico,Noon,Tàníshiù
Mòoré,Burkina Faso,Noon,Winngba yaa laafi?
Mòoré,Burkina Faso,Noon,Winngba kiema?
Mòoré,Burkina Faso,Noon,Winngba kibaare?
Ilokano,Philippines,"Noon, formal",Naimbag ñga aldawyo
Ilokano,Philippines,"Noon, informal",Naimbag ñga aldawmo
Low Saxon,Northern Germany,,Morgen
Low Saxon,Northern Germany,,Gouden morgen
Low Saxon,Northern Germany,,Goden Morgen
Japanese,Nosaka-machi Japan,Nosaka,O agan nasai mashi
Paipai,Southern California USA,Not stopping,Nyumkjkye
German,Zurich Switzerland,Old,Morgë
Zapotec,Yatzachi Mexico,Old,Sha'oza zil
Estonian,Old Estonia,Old Estonian,Terveh hoommikkosta aigaa
Estonian,Estonia,Older,Tere hommikust aega
Livonian,Latvia,Older,Jõvvõ uomõgt
Kwanyama,"Angola, Namibia",Plural,Mwa shilwa?
Mandinka,West Africa,Plural,Al saama
Sesotho,"Lesotho, South Africa",Plural,Mmorong
French,"Europe, Africa, Canada",Rarely used,Bon matin
Hawaiian,Hawaii,Rarely used,Aloha kakahiaka
Hmong Daw,"Laos, Thailand",Rarely used,Nyob zoo thaum sawv ntxov
Hmong Daw,"Laos, Thailand",Rarely used,Nyob zoo thaum tavsu
Fon,"Benin, Togo",Reply,"Een, un fon gangi"
Fon,"Benin, Togo",Reply,"Een, un damlo gangi"
Kituba,Congo,Reply,Mbote
Lingala,Congo,Reply,Mbote
Rutoro,Uganda,Reply,Ndeire kurungi
Shambaa,Tanzania,Reply,"Ni vedi, hangize wako"
Dyula,West Africa,Reply,Hèrè dron
Hausa,West Africa,Reply,Lapiyalo
Saramaccan,Suriname,Reply,Mi weki e
Yoruba,West Africa,Same age or younger,Ku aro
Kwanyama,"Angola, Namibia",Singular,Wa shilwa?
Mandinka,West Africa,Singular,I saama
Romani,Central Europe,Sinte,Lashi de tehara
Romani,Central Europe,Sinte,Dobroj tume
Romani,Bulgaria,Sliven,Bahtali ti avin
Romani,Bulgaria,Sofia Erli,Lachshí tí yavin
Norwegian,Sortland Norway,Sortlandsk,Go'mårra
German,Zurich Switzerland,Spoken language,Gu-ëte Morgë
German,Bern Switzerland,Spoken language,Gu-ete Morge
German,Zurich Switzerland,Spoken language,Gu-etä Morge
German,Germany,Südhessisch,Moin
Yitchogo,Gabon,To a woman,Yi maram bouga
Amharic,Ethiopia,To a woman,Indemin addersh
Amharic,Ethiopia,To a man,Indemin adderk
Tigrinya,Ethiopia,To a man,Dehan haderka
Chishona,Southern Africa,To men,Mangwánaní babá
Yoruba,West Africa,To an older person,E ku aro
Asante,Ghana,To one person,Maakyé
Icetot,Uganda,To one person,Epida
Amharic,Ethiopia,To several people,Indemin adderachihu
Asante,Ghana,To several people,Memá mo akyé
Bambara,Mali,To several people,Aw ni sogoma
Icetot,Uganda,To several people,Epita
Tigrinya,Ethiopia,To a woman,Dehan haderki
Chishona,Southern Africa,To women,Mangwánaní mái
Japanese,Northeast Japan,Tohoku Ben,Ohayo-sama
Sorbian,Eastern Germany,Upper Sorbian,Dobre spodobanje
Sorbian,Eastern Germany,Upper Sorbian,Dobre ranje
Low Saxon,Germany,Westphalian,Gueden Muorgn
Adyghe,North-West Caucasus,,Wipchadiz shoo
Adyghe,North-West Caucasus,,Femahoophoh
Afrikaans,Southern Africa,,Goeie môre
